ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,ADM3_PCODE,ADM3_EN,ADM4_PCODE,ADM4_EN,T_TL_2009,T_TL_2010,T_TL_2011,T_TL_2012,T_TL_2013,T_TL_2014,T_TL_2015,T_TL_2016,T_TL_2017,T_TL
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001001,Antanimalalaka Analakely,1058,1087,1117,1148,1179,1211,1244,1277,1312,1347
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001002,Ambalavao Isotry,5055,5195,5337,5484,5633,5786,5942,6102,6267,6436
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001003,Ambatonakanga Ambohitsorohitra,1689,1736,1783,1832,1882,1933,1985,2039,2094,2151
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001004,Ambatovinaky,2988,3070,3155,3241,3330,3420,3512,3607,3704,3804
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001005,Soarano Ambondrona Ambodifilao,6690,6875,7064,7257,7455,7657,7864,8076,8294,8518
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001006,Ampandrana Ankadivato,5647,5803,5962,6126,6293,6463,6638,6817,7001,7190
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001007,Amparibe Ambohidahy Mahamasina,3342,3434,3529,3625,3724,3825,3928,4034,4143,4255
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001008,Amboasarikely Ambatomena,2322,2386,2452,2519,2587,2658,2729,2803,2879,2956
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001009,Anatihazo Isotry,7855,8072,8294,8521,8753,8990,9233,9482,9738,10001
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001010,Andavamamba Anatihazo I,6035,6202,6372,6547,6725,6907,7094,7285,7482,7684
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001011,Andavamamba Anatihazo II,9795,10065,10342,10626,10915,11211,11514,11824,12144,12472
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001012,Andavamamba Anjezika I,9282,9538,9801,10069,10343,10624,10911,11205,11508,11818
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001013,Andavamamba Anjezika II,5594,5748,5907,6068,6234,6403,6575,6753,6935,7123
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001014,Andohatapenaka I,11724,12048,12379,12718,13064,13419,13781,14153,14535,14928
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001015,Andohatapenaka II,14393,14790,15197,15614,16039,16474,16918,17375,17844,18326
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001016,Andohatapenaka IIi,6528,6708,6893,7082,7274,7472,7673,7881,8093,8312
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001017,Andranomanalina Afovoany,5997,6163,6332,6506,6683,6864,7049,7240,7435,7636
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001018,Andranomanalina I,2741,2817,2894,2973,3054,3137,3222,3309,3398,3490
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001019,Andranomanalina Isotry,4823,4956,5092,5232,5374,5520,5669,5822,5979,6141
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001020,Ankasina,8938,9185,9437,9696,9960,10230,10506,10790,11081,11380
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001021,Antetezanafovoany I,6749,6935,7126,7321,7521,7725,7933,8147,8367,8593
